Red:Wavelength(nm),Red:Intensity,Blue:Wavelength(nm),Blue:Intensity,Orange:Wavelength(nm),Orange:Intensity,Yellow:Wavelength(nm),Yellow:Intensity,Green:Wavelength(nm),Green:Intensity,White Blue:Wavelength(nm),White Blue:Intensity,Red 2:Wavelength(nm),Red 2:Intensity,Red 3:Wavelength(nm),Red 3:Intensity,Red 4:Wavelength(nm),Red 4:Intensity
503,0.0002,503,0.00588,503,0.001936,503,0.000601,503,0.001008,503,0.013632,503,0.001051,503,0.000813,503,0.000869
503.8,1.91E-05,503.8,0.006294,503.8,0.001665,503.8,0.001174,503.8,0.001286,503.8,0.012979,503.8,0.000856,503.8,0.000282,503.8,0.00129
504.7,0.000554,504.7,0.006572,504.7,0.001903,504.7,0.001299,504.7,0.000932,504.7,0.012977,504.7,0.000852,504.7,0.000736,504.7,0.001296
505.5,0.000435,505.5,0.005988,505.5,0.001893,505.5,0.000879,505.5,0.000217,505.5,0.012549,505.5,0.000504,505.5,0.001101,505.5,0.001013
506.3,0.000933,506.3,0.005682,506.3,0.002165,506.3,0.000944,506.3,0.000275,506.3,0.013349,506.3,0.000821,506.3,0.001147,506.3,0.000807
507.2,0.000417,507.2,0.005232,507.2,0.002394,507.2,0.000949,507.2,0.000557,507.2,0.013356,507.2,0.000461,507.2,0.001152,507.2,0.000353
508,0.001369,508,0.005943,508,0.00323,508,0.002035,508,0.00182,508,0.014018,508,0.001148,508,0.001472,508,0.001247
508.8,0.001663,508.8,0.006094,508.8,0.003068,508.8,0.002513,508.8,0.002319,508.8,0.014,508.8,0.001112,508.8,0.001308,508.8,0.001495
509.7,0.001572,509.7,0.005794,509.7,0.002259,509.7,0.002386,509.7,0.002074,509.7,0.013918,509.7,0.001357,509.7,0.00109,509.7,0.001629
510.5,0.000496,510.5,0.005215,510.5,0.001195,510.5,0.001402,510.5,0.001147,510.5,0.013292,510.5,0.001247,510.5,0.000811,510.5,0.001273
511.3,0.000142,511.3,0.004944,511.3,0.001245,511.3,0.000645,511.3,0.000646,511.3,0.013162,511.3,0.001655,511.3,0.001282,511.3,0.001382
512.2,0.000461,512.2,0.005184,512.2,0.001661,512.2,0.000949,512.2,0.000507,512.2,0.013229,512.2,0.001313,512.2,0.001002,512.2,0.001615
513,0.001336,513,0.00489,513,0.002124,513,0.001621,513,0.000772,513,0.013491,513,0.001052,513,0.00104,513,0.001945
513.8,0.001709,513.8,0.004798,513.8,0.002016,513.8,0.002375,513.8,0.000952,513.8,0.013231,513.8,0.001033,513.8,0.001173,513.8,0.002016
